,tileID,X,Picture,AOI,Notes.Corrections,Date,Timepoint,file,Tank,Y,Run,Source,Type,Genotype
2075,95G,577,5,16,,6/25/20,Initial,I_5,35B,0.631,1,CRF,S,Acer-001
2076,95G,576,13,1,,6/25/20,Final,F_13,35B,0.44,1,CRF,S,Acer-001
2079,96G,581,5,17,,6/25/20,Initial,I_5,37A,0.664,1,CRF,S,Acer-001
2080,96G,580,25,5,,6/25/20,Final,F_25,37A,0,1,CRF,S,Acer-001
2083,97G,585,5,18,,6/25/20,Initial,I_5,34B,0.665,1,CRF,S,Acer-001
2084,97G,584,8,1,,6/25/20,Final,F_8,34B,0.579,1,CRF,S,Acer-001
2087,98G,588,5,9,,6/25/20,Final,F_5,34A,0.613,1,CRF,S,Acer-001
2088,98G,589,5,19,,6/25/20,Initial,I_5,34A,0.665,1,CRF,S,Acer-001
2091,99G,592,5,20,,6/25/20,Initial,I_5,33A,0.667,1,CRF,S,Acer-001
813,280B,1616,15,6,NA,6/28/20,Final,15_F,34B,0.49,3,CRF,A,Acer-002
814,280B,1422,1,7,NA,6/28/20,Initial,1_I,34B,0.601,3,CRF,A,Acer-002
819,281B,1419,1,4,NA,6/28/20,Initial,1_I,35B,0.607,3,CRF,S,Acer-002
820,281B,1773,19,13,NA,6/28/20,Final,19_F,35B,0.456,3,CRF,S,Acer-002
825,282B,1786,2,6,NA,6/28/20,Final,2_F,31A,0.62,3,CRF,S,Acer-002
826,282B,1428,1,13,NA,6/28/20,Initial,1_I,31A,0.637,3,CRF,S,Acer-002
831,283B,1587,14,18,NA,6/28/20,Final,14_F,34B,0.507,3,CRF,S,Acer-002
832,283B,1416,1,1,NA,6/28/20,Initial,1_I,34B,0.603,3,CRF,S,Acer-002
837,284B,1441,10,5,NA,6/28/20,Final,10_F,33B,0.602,3,CRF,S,Acer-002
838,284B,1417,1,2,NA,6/28/20,Initial,1_I,33B,0.604,3,CRF,S,Acer-002
843,285B,1427,1,12,NA,6/28/20,Initial,1_I,36A,0.627,3,CRF,S,Acer-002
844,285B,1846,21,17,NA,6/28/20,Final,21_F,36A,0.274,3,CRF,S,Acer-002
849,286B,1432,1,17,NA,6/28/20,Initial,1_I,34B,0.634,3,CRF,A,Acer-002
850,286B,1573,14,4,NA,6/28/20,Final,14_F,34B,0.557,3,CRF,A,Acer-002
851,286B,1927,4,20,NA,6/28/20,Final,4_F,32A,0.628,3,CRF,A,Acer-002
852,286B,1433,1,17,NA,6/28/20,Initial,1_I,32A,0.634,3,CRF,A,Acer-002
857,287B,1892,3,5,NA,6/28/20,Initial,3_I,32B,0.631,3,CRF,S,Acer-002
858,287B,1989,6,16,NA,6/28/20,Final,6_F,32B,0.624,3,CRF,S,Acer-002
863,288B,1895,3,8,NA,6/28/20,Initial,3_I,34A,0.609,3,CRF,S,Acer-002
864,288B,1516,12,11,NA,6/28/20,Final,12_F,34A,0.565,3,CRF,S,Acer-002
869,289B,1781,2,1,NA,6/28/20,Final,2_F,31A,0.611,3,CRF,S,Acer-002
870,289B,1893,3,6,NA,6/28/20,Initial,3_I,31A,0.596,3,CRF,S,Acer-002
879,290B,1894,3,7,NA,6/28/20,Initial,3_I,35A,0.604,3,CRF,S,Acer-002
880,290B,1740,18,17,NA,6/28/20,Final,18_F,35A,0.513,3,CRF,S,Acer-002
885,291B,1890,3,3,NA,6/28/20,Initial,3_I,35A,0.598,3,CRF,S,Acer-002
886,291B,1701,17,18,NA,6/28/20,Final,17_F,35A,0.423,3,CRF,S,Acer-002
891,292B,1909,4,2,NA,6/28/20,Final,4_F,32A,0.607,3,CRF,A,Acer-002
892,292B,1431,1,16,NA,6/28/20,Initial,1_I,32A,0.62,3,CRF,A,Acer-002
897,293B,1436,1,20,NA,6/28/20,Initial,1_I,33B,0.66,3,CRF,A,Acer-002
898,293B,1446,10,10,NA,6/28/20,Final,10_F,33B,0.635,3,CRF,A,Acer-002
903,294B,1869,26,11,NA,6/28/20,Final,26_F,36B,0.226,3,CRF,A,Acer-002
904,294B,1423,1,8,NA,6/28/20,Initial,1_I,36B,0.628,3,CRF,A,Acer-002
909,295B,1517,12,12,NA,6/28/20,Final,12_F,34A,0.591,3,CRF,S,Acer-002
910,295B,1424,1,9,NA,6/28/20,Initial,1_I,34A,0.639,3,CRF,S,Acer-002
1251,361B,1396,1,1,NA,6/28/20,Final,1_F,31A,0.618,3,CRF,S,Acer-014
1252,361B,1496,11,11,NA,6/28/20,Initial,11_I,31A,0.612,3,CRF,S,Acer-014
1257,362B,1643,16,1,NA,6/28/20,Final,16_F,31B,0.572,3,CRF,S,Acer-014
1258,362B,1504,11,19,NA,6/28/20,Initial,11_I,31B,0.615,3,CRF,S,Acer-014
1271,365B,1612,15,2,NA,6/28/20,Final,15_F,34B,0.52,3,CRF,S,Acer-014
1272,365B,1503,11,18,NA,6/28/20,Initial,11_I,34B,0.627,3,CRF,S,Acer-014
1022,317G,363,5,2,,6/25/20,Final,F_5,34A,0.558,1,CRF,S,Acer-030
1023,317G,362,14,1,252,6/25/20,Initial,I_14,34A,0.578,1,CRF,S,Acer-030
1032,319G,368,14,7,,6/25/20,Initial,I_14,37A,0.421,1,CRF,S,Acer-030
1033,319G,369,25,1,,6/25/20,Final,F_25,37A,0,1,CRF,S,Acer-030
1040,320G,373,4,3,,6/25/20,Final,F_4,33B,0.549,1,CRF,S,Acer-030
1041,320G,372,14,8,,6/25/20,Initial,I_14,33B,0.596,1,CRF,S,Acer-030
1046,321G,377,14,4,,6/25/20,Initial,I_14,35B,0.61,1,CRF,S,Acer-030
1047,321G,376,13,2,,6/25/20,Final,F_13,35B,0.314,1,CRF,S,Acer-030
1054,322G,381,5,1,,6/25/20,Final,F_5,34A,0.611,1,CRF,S,Acer-030
1055,322G,380,14,10,,6/25/20,Initial,I_14,34A,0.601,1,CRF,S,Acer-030
1060,323G,385,14,2,,6/25/20,Initial,I_14,36A,0.584,1,CRF,S,Acer-030
1061,323G,384,19,2,,6/25/20,Final,F_19,36A,0.074,1,CRF,S,Acer-030
1074,326G,393,14,11,,6/25/20,Initial,I_14,32A,0.605,1,CRF,S,Acer-030
1075,326G,392,1,19,,6/25/20,Final,F_1,32A,0.577,1,CRF,S,Acer-030
1080,327G,396,14,3,,6/25/20,Initial,I_14,32B,0.601,1,CRF,S,Acer-030
1093,330G,399,21,1,,6/25/20,Final,F_21,36B,0.09,1,CRF,S,Acer-030
1094,330G,398,14,9,,6/25/20,Initial,I_14,36B,0.612,1,CRF,S,Acer-030
1099,331G,400,14,6,,6/25/20,Initial,I_14,35A,0.631,1,CRF,S,Acer-030
1462,404W,1262,6,6,NA,6/26/20,Final,6_F,32.5A,0.656,2,CRF,S,Acer-041
1463,404W,1395,9,20,NA,6/26/20,Initial,9_I,32.5A,0.669,2,CRF,S,Acer-041
1468,405W,1328,8,9,NA,6/26/20,Final,8_F,32.5B,0.667,2,CRF,S,Acer-041
1469,405W,1394,9,19,NA,6/26/20,Initial,9_I,32.5B,0.662,2,CRF,S,Acer-041
1474,406W,684,11,9,NA,6/26/20,Final,11_F,33.5B,0.622,2,CRF,S,Acer-041
1475,406W,1393,9,18,NA,6/26/20,Initial,9_I,33.5B,0.673,2,CRF,S,Acer-041
1488,409W,609,1,11,NA,6/26/20,Final,1_F,31.5A,0.666,2,CRF,S,Acer-041
1489,409W,1392,9,17,NA,6/26/20,Initial,9_I,31.5A,0.667,2,CRF,S,Acer-041
1502,411W,1390,9,15,NA,6/26/20,Initial,9_I,36.5A,0.662,2,CRF,S,Acer-041
1503,411W,1108,27,2,NA,6/26/20,Final,27_F,36.5A,0.088,2,CRF,S,Acer-041
1515,414W,1303,7,4,NA,6/26/20,Initial,7_I,35.5A,0.652,2,CRF,S,Acer-041
1516,414W,1017,20,7,NA,6/26/20,Final,20_F,35.5A,0.291,2,CRF,S,Acer-041
1521,415W,1071,23,17,NA,6/26/20,Final,23_F,35.5B,0.268,2,CRF,S,Acer-041
1522,415W,1386,9,11,NA,6/26/20,Initial,9_I,35.5B,0.661,2,CRF,S,Acer-041
371,18G,758,13,7,NA,6/26/20,Initial,13_I,33.5B,0.647,2,CRF,S,Acer-049
372,18G,730,12,19,NA,6/26/20,Final,12_F,33.5B,0.63,2,CRF,S,Acer-049
399,19G,764,13,13,NA,6/26/20,Initial,13_I,36.5B,0.665,2,CRF,S,Acer-049
400,19G,1127,28,10,NA,6/26/20,Final,28_F,36.5B,0.247,2,CRF,S,Acer-049
454,20G,766,13,15,NA,6/26/20,Initial,13_I,31.5B,0.673,2,CRF,S,Acer-049
455,20G,1147,3,6,NA,6/26/20,Final,3_F,31.5B,0.643,2,CRF,S,Acer-049
504,21G,759,13,8,NA,6/26/20,Initial,13_I,34.5B,0.671,2,CRF,S,Acer-049
505,21G,893,17,6,NA,6/26/20,Final,17_F,34.5B,0.442,2,CRF,S,Acer-049
877,28G,895,17,8,NA,6/26/20,Final,17_F,34.5B,0.451,2,CRF,S,Acer-049
878,28G,740,12,10,NA,6/26/20,Initial,12_I,34.5B,0.63,2,CRF,S,Acer-049
937,29G,1186,4,9,NA,6/26/20,Final,4_F,31.5B,0.625,2,CRF,A,Acer-049
938,29G,741,12,11,NA,6/26/20,Initial,12_I,31.5B,0.622,2,CRF,A,Acer-049
1625,434W,1033,20,5,NA,6/26/20,Initial,20_I,36.5A,0.665,2,CRF,S,Acer-062
1626,434W,1091,26,5,NA,6/26/20,Final,26_F,36.5A,0.128,2,CRF,S,Acer-062
1629,435W,932,18,4,NA,6/26/20,Initial,18_I,31.5A,0.667,2,CRF,S,Acer-062
1630,435W,610,1,12,NA,6/26/20,Final,1_F,31.5A,0.69,2,CRF,S,Acer-062
1635,436W,792,14,6,NA,6/26/20,Initial,14_I,33.5A,0.643,2,CRF,S,Acer-062
1636,436W,644,10,2,NA,6/26/20,Final,10_F,33.5A,0.598,2,CRF,S,Acer-062
1641,437W,1065,23,11,NA,6/26/20,Final,23_F,35.5B,0.311,2,CRF,S,Acer-062
1642,437W,882,16,15,NA,6/26/20,Initial,16_I,35.5B,0.644,2,CRF,S,Acer-062
1647,438W,885,16,18,NA,6/26/20,Initial,16_I,34.5A,0.685,2,CRF,S,Acer-062
1648,438W,822,15,16,NA,6/26/20,Final,15_F,34.5A,0.557,2,CRF,S,Acer-062
1651,439W,1229,5,13,NA,6/26/20,Final,5_F,32.5A,0.645,2,CRF,S,Acer-062
1652,439W,878,16,11,NA,6/26/20,Initial,16_I,32.5A,0.662,2,CRF,S,Acer-062
1657,440W,489,5,16,,6/25/20,Final,F_5,34A,0.631,1,CRF,S,Acer-062
1658,440W,1098,26,12,NA,6/26/20,Final,26_F,36.5A,0.085,2,CRF,S,Acer-062
1659,440W,883,16,16,NA,6/26/20,Initial,16_I,36.5A,0.599,2,CRF,S,Acer-062
1662,441W,929,18,1,NA,6/26/20,Initial,18_I,34.5A,0.666,2,CRF,S,Acer-062
1663,441W,821,15,15,NA,6/26/20,Final,15_F,34.5A,0.482,2,CRF,S,Acer-062
1664,442W,1060,23,6,NA,6/26/20,Final,23_F,35.5B,0.336,2,CRF,S,Acer-062
1665,442W,930,18,2,NA,6/26/20,Initial,18_I,35.5B,0.665,2,CRF,S,Acer-062
1670,443W,849,16,3,NA,6/26/20,Final,16_F,34.5B,0.526,2,CRF,A,Acer-062
1671,443W,1034,20,6,NA,6/26/20,Initial,20_I,34.5B,0.659,2,CRF,A,Acer-062
1675,444W,931,18,3,NA,6/26/20,Initial,18_I,32.5B,0.665,2,CRF,A,Acer-062
1676,444W,1335,8,16,NA,6/26/20,Final,8_F,32.5B,0.665,2,CRF,A,Acer-062
1681,445W,863,16,17,NA,6/26/20,Final,16_F,34.5B,0.509,2,CRF,A,Acer-062
1682,445W,789,14,3,NA,6/26/20,Initial,14_I,34.5B,0.642,2,CRF,A,Acer-062
1687,446W,865,16,19,NA,6/26/20,Final,16_F,34.5B,0.447,2,CRF,A,Acer-062
1688,446W,1165,3,10,NA,6/26/20,Initial,3_I,34.5B,0.64,2,CRF,A,Acer-062
1691,447W,722,12,11,NA,6/26/20,Final,12_F,33.5B,0.609,2,CRF,A,Acer-062
1692,447W,1041,20,13,NA,6/26/20,Initial,20_I,33.5B,0.669,2,CRF,A,Acer-062
356,183G,815,15,9,NA,6/26/20,Final,15_F,34.5A,0.526,2,CRF,S,Acer-071
387,197G,658,10,3,NA,6/26/20,Initial,10_I,31.5A,0.657,2,CRF,S,Acer-097
388,197G,982,2,1,NA,6/26/20,Final,2_F,31.5A,0.646,2,CRF,S,Acer-097
393,199G,786,14,15,NA,6/26/20,Final,14_F,34.5A,0.458,2,CRF,S,Acer-097
394,199G,756,13,5,NA,6/26/20,Initial,13_I,34.5A,0.679,2,CRF,S,Acer-097
403,200G,897,17,10,NA,6/26/20,Final,17_F,34.5B,0.357,2,CRF,S,Acer-097
404,200G,692,11,1,NA,6/26/20,Initial,11_I,34.5B,0.653,2,CRF,S,Acer-097
409,201G,694,11,3,NA,6/26/20,Initial,11_I,36.5B,0.661,2,CRF,S,Acer-097
410,201G,1125,28,8,NA,6/26/20,Final,28_F,36.5B,0.142,2,CRF,S,Acer-097
419,203G,695,11,4,NA,6/26/20,Initial,11_I,35.5A,0.648,2,CRF,S,Acer-097
428,205G,1231,5,15,NA,6/26/20,Final,5_F,32.5A,0.658,2,CRF,S,Acer-097
429,205G,696,11,5,NA,6/26/20,Initial,11_I,32.5A,0.656,2,CRF,S,Acer-097
434,206G,700,11,9,NA,6/26/20,Initial,11_I,31.5A,0.677,2,CRF,S,Acer-097
435,206G,617,1,19,NA,6/26/20,Final,1_F,31.5A,0.685,2,CRF,S,Acer-097
444,208G,1368,9,11,NA,6/26/20,Final,9_F,33.5A,0.572,2,CRF,S,Acer-097
445,208G,697,11,6,NA,6/26/20,Initial,11_I,33.5A,0.668,2,CRF,S,Acer-097
462,211G,738,12,8,NA,6/26/20,Initial,12_I,35.5A,0.669,2,CRF,S,Acer-097
463,211G,1026,20,16,NA,6/26/20,Final,20_F,35.5A,0.254,2,CRF,S,Acer-097
476,214G,699,11,8,NA,6/26/20,Initial,11_I,35.5B,0.662,2,CRF,S,Acer-097
477,214G,1076,24,4,NA,6/26/20,Final,24_F,35.5B,0.301,2,CRF,S,Acer-097
486,216G,698,11,7,NA,6/26/20,Initial,11_I,36.5A,0.657,2,CRF,S,Acer-097
487,216G,1107,27,1,NA,6/26/20,Final,27_F,36.5A,0.116,2,CRF,S,Acer-097
496,218G,761,13,10,NA,6/26/20,Initial,13_I,34.5B,0.66,2,CRF,A,Acer-097
497,218G,848,16,2,NA,6/26/20,Final,16_F,34.5B,0.451,2,CRF,A,Acer-097
512,221G,898,17,11,NA,6/26/20,Final,17_F,34.5B,0.356,2,CRF,A,Acer-097
513,221G,762,13,11,NA,6/26/20,Initial,13_I,34.5B,0.664,2,CRF,A,Acer-097
522,223G,1044,21,1,NA,6/26/20,Final,21_F,35.5A,0.177,2,CRF,S,Acer-097
523,223G,765,13,14,NA,6/26/20,Initial,13_I,35.5A,0.681,2,CRF,S,Acer-097
532,225G,1094,26,8,NA,6/26/20,Final,26_F,36.5A,0.1,2,CRF,S,Acer-097
533,225G,767,13,16,NA,6/26/20,Initial,13_I,36.5A,0.69,2,CRF,S,Acer-097
40,10B,1750,18,9,NA,6/28/20,Initial,18_I,35A,0.646,3,CRF,S,Acer-103
41,10B,1693,17,10,NA,6/28/20,Final,17_F,35A,0.344,3,CRF,S,Acer-103
1852,492W,1887,3,4,NA,6/28/20,Final,3_F,31B,0.632,3,CRF,S,Acer-103
1853,492W,2070,8,11,NA,6/28/20,Initial,8_I,31B,0.619,3,CRF,S,Acer-103
1856,493W,2071,8,12,NA,6/28/20,Initial,8_I,31A,0.653,3,CRF,S,Acer-103
1857,493W,1787,2,7,NA,6/28/20,Final,2_F,31A,0.656,3,CRF,S,Acer-103
1859,494W,2072,8,13,NA,6/28/20,Initial,8_I,33B,0.664,3,CRF,S,Acer-103
1860,494W,1478,11,2,NA,6/28/20,Final,11_F,33B,0.633,3,CRF,S,Acer-103
1865,496W,2054,8,15,NA,6/28/20,Final,8_F,33A,0.642,3,CRF,S,Acer-103
1866,496W,2073,8,14,NA,6/28/20,Initial,8_I,33A,0.665,3,CRF,S,Acer-103
1869,497W,1816,20,4,NA,6/28/20,Final,20_F,35B,0.389,3,CRF,S,Acer-103
1870,497W,1720,17,17,NA,6/28/20,Initial,17_I,35B,0.663,3,CRF,S,Acer-103
1877,4B,2079,8,20,NA,6/28/20,Initial,8_I,33B,0.681,3,CRF,S,Acer-103
1878,4B,1449,10,13,NA,6/28/20,Final,10_F,33B,0.64,3,CRF,S,Acer-103
2008,7B,1735,18,12,NA,6/28/20,Final,18_F,35A,0.362,3,CRF,S,Acer-103
2009,7B,1561,13,12,NA,6/28/20,Initial,13_I,35A,0.666,3,CRF,S,Acer-103
2051,8B,1871,26,13,NA,6/28/20,Final,26_F,36B,0.176,3,CRF,S,Acer-103
2052,8B,2077,8,18,NA,6/28/20,Initial,8_I,36B,0.674,3,CRF,S,Acer-103
2094,9B,1771,19,11,NA,6/28/20,Final,19_F,35B,0.397,3,CRF,S,Acer-103
2095,9B,1745,18,4,NA,6/28/20,Initial,18_I,35B,0.64,3,CRF,S,Acer-103
969,305G,337,11,5,,6/25/20,Final,F_11,35A,0.427,1,CRF,S,Acer-120
970,305G,338,1,1,,6/25/20,Initial,I_1,35A,0.59,1,CRF,S,Acer-120
973,306G,341,1,3,,6/25/20,Initial,I_1,34A,0.359,1,CRF,S,Acer-120
976,307G,342,1,2,,6/25/20,Initial,I_1,33A,0.597,1,CRF,S,Acer-120
981,308G,344,3,6,,6/25/20,Final,F_3,33A,0.436,1,CRF,S,Acer-120
982,308G,343,1,4,,6/25/20,Initial,I_1,33A,0.615,1,CRF,S,Acer-120
985,309G,345,19,1,,6/25/20,Final,F_19,36A,0.124,1,CRF,S,Acer-120
986,309G,346,1,5,,6/25/20,Initial,I_1,36A,0.628,1,CRF,S,Acer-120
993,310G,347,1,6,,6/25/20,Initial,I_1,32A,0.423,1,CRF,S,Acer-120
996,311G,348,1,7,,6/25/20,Initial,I_1,37A,0.491,1,CRF,S,Acer-120
999,312G,349,1,8,,6/25/20,Initial,I_1,35A,0.462,1,CRF,S,Acer-120
1004,313G,352,1,9,,6/25/20,Initial,I_1,35A,0.642,1,CRF,S,Acer-120
1005,313G,353,11,7,,6/25/20,Final,F_11,35A,0.391,1,CRF,S,Acer-120
60,114W,56,2,11,,6/25/20,Initial,I_2,33A,0.628,1,CRF,S,Acer-127
61,114W,57,3,23,,6/25/20,Final,F_3,33A,0.453,1,CRF,S,Acer-127
64,115W,58,19,6,,6/25/20,Final,F_19,36A,0.1,1,CRF,S,Acer-127
65,115W,59,2,14,,6/25/20,Initial,I_2,36A,0.595,1,CRF,S,Acer-127
68,116W,61,4,16,,6/25/20,Final,F_4,33B,0.609,1,CRF,S,Acer-127
69,116W,60,1,17,,6/25/20,Initial,I_1,33B,0.657,1,CRF,S,Acer-127
72,117W,62,1,16,,6/25/20,Initial,I_1,36B,0.648,1,CRF,S,Acer-127
73,117W,63,22,7,,6/25/20,Final,F_22,36B,0.088,1,CRF,S,Acer-127
75,118W,65,1,15,,6/25/20,Initial,I_1,32A,0.646,1,CRF,S,Acer-127
76,118W,64,1,10,,6/25/20,Final,F_1,32A,0.604,1,CRF,S,Acer-127
79,119W,67,1,14,,6/25/20,Initial,I_1,35B,0.646,1,CRF,S,Acer-127
80,119W,66,13,16,,6/25/20,Final,F_13,35B,0.297,1,CRF,S,Acer-127
87,120W,70,2,19,,6/25/20,Final,F_2,32B,0.613,1,CRF,S,Acer-127
88,120W,69,1,13,,6/25/20,Initial,I_1,32B,0.648,1,CRF,S,Acer-127
91,121W,71,1,12,,6/25/20,Initial,I_1,35A,0.637,1,CRF,S,Acer-127
92,121W,72,11,21,,6/25/20,Final,F_11,35A,0.324,1,CRF,S,Acer-127
95,122W,74,11,20,,6/25/20,Final,F_11,35A,0.368,1,CRF,S,Acer-127
96,122W,73,1,11,,6/25/20,Initial,I_1,35A,0.633,1,CRF,S,Acer-127
99,123W,75,27,16,,6/25/20,Final,F_27,37B,0.066,1,CRF,S,Acer-127
100,123W,76,1,10,,6/25/20,Initial,I_1,37B,0.649,1,CRF,S,Acer-127
103,124W,78,25,12,,6/25/20,Final,F_25,37A,0,1,CRF,S,Acer-127
104,124W,77,9,13,,6/25/20,Initial,I_9,37A,0.63,1,CRF,S,Acer-127
107,125W,80,9,1,245 & 246,6/25/20,Initial,I_9,35A,0.612,1,CRF,S,Acer-127
108,125W,79,12,5,,6/25/20,Final,F_12,35A,0.384,1,CRF,S,Acer-127
111,126W,81,9,18,,6/25/20,Initial,I_9,34A,0.553,1,CRF,S,Acer-127
114,127W,83,5,17,,6/25/20,Final,F_5,34A,0.618,1,CRF,S,Acer-127
115,127W,82,10,4,,6/25/20,Initial,I_10,34A,0.61,1,CRF,S,Acer-127
118,128W,85,7,13,,6/25/20,Initial,I_7,34B,0.573,1,CRF,S,Acer-127
119,128W,84,8,12,,6/25/20,Final,F_8,34B,0.56,1,CRF,S,Acer-127
122,129W,86,9,6,,6/25/20,Initial,I_9,32B,0.606,1,CRF,S,Acer-127
123,129W,87,2,14,,6/25/20,Final,F_2,32B,0.618,1,CRF,S,Acer-127
130,130W,91,2,13,,6/25/20,Final,F_2,32B,0.606,1,CRF,S,Acer-127
131,130W,90,7,12,,6/25/20,Initial,I_7,32B,0.62,1,CRF,S,Acer-127
1820,486B,1486,11,1,NA,6/28/20,Initial,11_I,34A,0.596,3,UM,S,Acerv 1
1821,486B,1510,12,5,NA,6/28/20,Final,12_F,34A,0.584,3,UM,S,Acerv 1
1826,487B,1506,12,1,NA,6/28/20,Final,12_F,34A,0.571,3,UM,S,Acerv 1
1827,487B,1564,13,15,NA,6/28/20,Initial,13_I,34A,0.629,3,UM,S,Acerv 1
1830,488B,1992,6,19,NA,6/28/20,Final,6_F,32B,0.642,3,UM,S,Acerv 1
1831,488B,1605,14,16,NA,6/28/20,Initial,14_I,32B,0.634,3,UM,S,Acerv 1
789,276B,1936,4,9,NA,6/28/20,Initial,4_I,32A,0.58,3,UM,S,Acerv 2
790,276B,1918,4,11,NA,6/28/20,Final,4_F,32A,0.564,3,UM,S,Acerv 2
794,277B,1985,6,12,NA,6/28/20,Final,6_F,32B,0.578,3,UM,S,Acerv 2
795,277B,1937,4,10,NA,6/28/20,Initial,4_I,32B,0.578,3,UM,S,Acerv 2
800,278B,1940,4,13,NA,6/28/20,Initial,4_I,35A,0.592,3,UM,S,Acerv 2
801,278B,1696,17,13,NA,6/28/20,Final,17_F,35A,0.386,3,UM,S,Acerv 2
806,279B,1942,4,15,NA,6/28/20,Initial,4_I,32B,0.598,3,UM,S,Acerv 2
807,279B,1977,6,4,NA,6/28/20,Final,6_F,32B,0.579,3,UM,S,Acerv 2
344,17W,881,16,14,NA,6/26/20,Initial,16_I,33.5A,0.667,2,UM,S,Acerv 3
345,17W,1365,9,8,NA,6/26/20,Final,9_F,33.5A,0.664,2,UM,S,Acerv 3
655,24W,1224,5,8,NA,6/26/20,Final,5_F,32.5A,0.655,2,UM,S,Acerv 3
656,24W,870,16,4,NA,6/26/20,Initial,16_I,32.5A,0.642,2,UM,S,Acerv 3
1089,32W,1126,28,9,NA,6/26/20,Final,28_F,36.5B,0.191,2,UM,A,Acerv 3
1090,32W,868,16,2,NA,6/26/20,Initial,16_I,36.5B,0.632,2,UM,A,Acerv 3
1193,34W,952,19,4,NA,6/26/20,Final,19_F,35.5A,0.382,2,UM,A,Acerv 3
1194,34W,869,16,3,NA,6/26/20,Initial,16_I,35.5A,0.619,2,UM,A,Acerv 3
1341,37W,876,16,9,NA,6/26/20,Initial,16_I,32.5A,0.631,2,UM,S,Acerv 3
1433,39W,1156,3,1,NA,6/26/20,Initial,3_I,31.5B,0.636,2,UM,A,Acerv 3
1434,39W,1150,3,9,NA,6/26/20,Final,3_F,31.5B,0.684,2,UM,A,Acerv 3
1492,40W,678,11,3,NA,6/26/20,Final,11_F,33.5B,0.609,2,UM,A,Acerv 3
1493,40W,1158,3,3,NA,6/26/20,Initial,3_I,33.5B,0,2,UM,A,Acerv 3
1703,44W,866,16,20,NA,6/26/20,Final,16_F,34.5B,0.453,2,UM,A,Acerv 3
1704,44W,1157,3,2,NA,6/26/20,Initial,3_I,34.5B,0.601,2,UM,A,Acerv 3
1840,48W,679,11,4,NA,6/26/20,Final,11_F,33.5B,0.631,2,UM,A,Acerv 3
1841,48W,872,16,6,NA,6/26/20,Initial,16_I,33.5B,0.662,2,UM,A,Acerv 3
1875,49W,1195,4,18,NA,6/26/20,Final,4_F,31.5B,0.652,2,UM,A,Acerv 3
1876,49W,871,16,5,NA,6/26/20,Initial,16_I,31.5B,0.63,2,UM,A,Acerv 3
1885,50W,1324,8,5,NA,6/26/20,Final,8_F,32.5B,0.654,2,UM,A,Acerv 3
1886,50W,879,16,12,NA,6/26/20,Initial,16_I,32.5B,0.655,2,UM,A,Acerv 3
1215,354G,1178,4,1,NA,6/26/20,Final,4_F,31.5B,0.605,2,UM,S,Cheetos
1216,354G,640,1,22,NA,6/26/20,Initial,1_I,31.5B,0.646,2,UM,S,Cheetos
1221,355G,1022,20,12,NA,6/26/20,Final,20_F,35.5A,0.33,2,UM,S,Cheetos
1222,355G,1003,2,15,NA,6/26/20,Initial,2_I,35.5A,0.661,2,UM,S,Cheetos
1225,356G,622,1,4,NA,6/26/20,Initial,1_I,32.5B,0.639,2,UM,S,Cheetos
1226,356G,1333,8,14,NA,6/26/20,Final,8_F,32.5B,0.656,2,UM,S,Cheetos
1231,357G,927,18,1,NA,6/26/20,Final,18_F,34.5B,0.557,2,UM,S,Cheetos
1232,357G,635,1,17,NA,6/26/20,Initial,1_I,34.5B,0.651,2,UM,S,Cheetos
1235,358G,1213,4,16,NA,6/26/20,Initial,4_I,33.5B,0.635,2,UM,S,Cheetos
1236,358G,724,12,13,NA,6/26/20,Final,12_F,33.5B,0.641,2,UM,S,Cheetos
1241,359G,1122,28,5,NA,6/26/20,Final,28_F,36.5B,0.189,2,UM,S,Cheetos
1242,359G,1042,20,14,NA,6/26/20,Initial,20_I,36.5B,0.654,2,UM,S,Cheetos
2014,80W,1164,3,9,NA,6/26/20,Initial,3_I,32.5B,0.555,2,UM,S,Elkhorn 
2017,81W,608,1,10,NA,6/26/20,Final,1_F,31.5A,0.677,2,UM,S,Elkhorn 
2018,81W,788,14,2,NA,6/26/20,Initial,14_I,31.5A,0.648,2,UM,S,Elkhorn 
2021,82W,1162,3,7,NA,6/26/20,Initial,3_I,34.5A,0.652,2,UM,S,Elkhorn 
2022,82W,778,14,7,NA,6/26/20,Final,14_F,34.5A,0.467,2,UM,S,Elkhorn 
2025,83W,1114,27,8,NA,6/26/20,Final,27_F,36.5A,0.13,2,UM,S,Elkhorn 
2026,83W,880,16,13,NA,6/26/20,Initial,16_I,36.5A,0.647,2,UM,S,Elkhorn 
2029,84W,1086,25,2,NA,6/26/20,Final,25_F,35.5B,0.198,2,UM,S,Elkhorn 
2030,84W,1163,3,8,NA,6/26/20,Initial,3_I,35.5B,0.627,2,UM,S,Elkhorn 
2033,85W,1160,3,5,NA,6/26/20,Initial,3_I,33.5A,0.643,2,UM,S,Elkhorn 
2034,85W,1369,9,12,NA,6/26/20,Final,9_F,33.5A,0.59,2,UM,S,Elkhorn 
1148,341W,1349,8,12,NA,6/26/20,Initial,8_I,34.5B,0.656,2,FWC,S,F-M-12
1149,341W,859,16,13,NA,6/26/20,Final,16_F,34.5B,0.51,2,FWC,S,F-M-12
1154,342W,818,15,12,NA,6/26/20,Final,15_F,34.5A,0.561,2,FWC,S,F-M-12
