"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"223",1602700868030,2020-10-14,19:41:08,"F",13239,"246",362,0,"0.320","0.0"
"224",1602700878030,2020-10-14,19:41:18,"F",13240,"221",293,0,"0.246","0.0"
"225",1602700882400,2020-10-14,19:41:22,"F",13241,"233",330,0,"0.294","0.0"
"226",1602700891560,2020-10-14,19:41:31,"F",13242,"151",204,0,"0.260","0.0"
"227",1602700897380,2020-10-14,19:41:37,"F",13243,"280",383,0,"0.269","0.0"
"228",1602700904330,2020-10-14,19:41:44,"F",13244,"221",227,0,"0.026","0.0"
"229",1602700910930,2020-10-14,19:41:50,"F",13245,"106",137,0,"0.226","0.0"
"230",1602700915870,2020-10-14,19:41:55,"F",13246,"129",155,0,"0.168","0.0"
"231",1602700921530,2020-10-14,19:42:01,"F",13247,"323",323,0,"0.000","0.0"
"232",1602700924050,2020-10-14,19:42:04,"F",13248,"157",214,0,"0.266","0.0"
"233",1602700929250,2020-10-14,19:42:09,"F",13249,"190",248,0,"0.234","0.0"
"234",1602700939590,2020-10-14,19:42:19,"F",13250,"210",374,0,"0.439","0.0"
"235",1602700954100,2020-10-14,19:42:34,"F",13251,"219",396,0,"0.447","0.0"
"236",1602700960450,2020-10-14,19:42:40,"F",13252,"289",356,0,"0.188","0.0"
"237",1602700964320,2020-10-14,19:42:44,"F",13253,"280",360,0,"0.222","0.0"
"238",1602700988420,2020-10-14,19:43:08,"F",13254,"297",379,0,"0.216","0.0"
"239",1602700992490,2020-10-14,19:43:12,"F",13255,"206",283,0,"0.272","0.0"
"240",1602700997370,2020-10-14,19:43:17,"F",13256,"342",476,0,"0.282","0.0"
"241",1602701002590,2020-10-14,19:43:22,"F",13257,"325",419,0,"0.224","0.0"
"242",1602701008120,2020-10-14,19:43:28,"F",13258,"227",319,0,"0.288","0.0"
"243",1602701014450,2020-10-14,19:43:34,"F",13259,"270",377,0,"0.284","0.0"
"244",1602701020150,2020-10-14,19:43:40,"F",13260,"321",453,0,"0.291","0.0"
"245",1602701024540,2020-10-14,19:43:44,"F",13261,"277",346,0,"0.199","0.0"
"246",1602701030780,2020-10-14,19:43:50,"F",13262,"99",126,0,"0.214","0.0"
"247",1602701034770,2020-10-14,19:43:54,"F",13263,"173",244,0,"0.291","0.0"
"248",1602701039920,2020-10-14,19:43:59,"F",13264,"277",308,0,"0.101","0.0"
"249",1602701043390,2020-10-14,19:44:03,"F",13265,"180",237,0,"0.241","0.0"
"250",1602701052890,2020-10-14,19:44:12,"F",13266,"264",407,0,"0.351","0.0"
"251",1602701069860,2020-10-14,19:44:29,"F",13267,"243",382,0,"0.364","0.0"
"252",1602701079290,2020-10-14,19:44:39,"F",13268,"294",417,0,"0.295","0.0"
"253",1602701084470,2020-10-14,19:44:44,"F",13269,"260",402,0,"0.353","0.0"
"254",1602701091590,2020-10-14,19:44:51,"F",13270,"26",51,0,"0.490","0.0"
"255",1602701097750,2020-10-14,19:44:57,"F",13271,"162",188,0,"0.138","0.0"
"256",1602701103640,2020-10-14,19:45:03,"F",13272,"148",209,0,"0.292","0.0"
"257",1602701117660,2020-10-14,19:45:17,"F",13273,"317",393,0,"0.193","0.0"
"258",1602701120200,2020-10-14,19:45:20,"F",13274,"322",490,0,"0.343","0.0"
"259",1602701156000,2020-10-14,19:45:56,"C",NA,"File Nr. 522 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"260",1602701193360,2020-10-14,19:46:33,"F",13275,"272",369,0,"0.263","0.0"
"261",1602701197940,2020-10-14,19:46:37,"F",13276,"227",382,0,"0.406","0.0"
"262",1602701217430,2020-10-14,19:46:57,"F",13277,"124",154,0,"0.195","0.0"
"263",1602701221560,2020-10-14,19:47:01,"F",13278,"218",275,0,"0.207","0.0"
"264",1602701225570,2020-10-14,19:47:05,"F",13279,"329",473,0,"0.304","0.0"
"265",1602701229740,2020-10-14,19:47:09,"F",13280,"340",493,0,"0.310","0.0"
"266",1602701233840,2020-10-14,19:47:13,"F",13281,"385",483,0,"0.203","0.0"
"267",1602701239870,2020-10-14,19:47:19,"F",13282,"128",169,0,"0.243","0.0"
"268",1602701245350,2020-10-14,19:47:25,"F",13283,"223",469,0,"0.525","0.0"
"269",1602701249280,2020-10-14,19:47:29,"F",13284,"312",539,0,"0.421","0.0"
"270",1602701254040,2020-10-14,19:47:34,"F",13285,"215",331,0,"0.350","0.0"
"271",1602701259180,2020-10-14,19:47:39,"F",13286,"261",316,0,"0.174","0.0"
"272",1602701271710,2020-10-14,19:47:51,"F",13287,"127",213,0,"0.404","0.0"
"273",1602701281750,2020-10-14,19:48:01,"F",13288,"313",442,0,"0.292","0.0"
"274",1602701287660,2020-10-14,19:48:07,"F",13289,"284",344,0,"0.174","0.0"
"275",1602701291470,2020-10-14,19:48:11,"F",13290,"190",244,0,"0.221","0.0"
"276",1602701296270,2020-10-14,19:48:16,"F",13291,"213",403,0,"0.471","0.0"
"277",1602701305540,2020-10-14,19:48:25,"F",13292,"267",409,0,"0.347","0.0"
"278",1602701310530,2020-10-14,19:48:30,"F",13293,"265",419,0,"0.368","0.0"
"279",1602701317850,2020-10-14,19:48:37,"F",13294,"249",371,0,"0.329","0.0"
"280",1602701327430,2020-10-14,19:48:47,"F",13295,"125",151,0,"0.172","0.0"
"281",1602701332950,2020-10-14,19:48:52,"F",13296,"167",241,0,"0.307","0.0"
"282",1602701340130,2020-10-14,19:49:00,"F",13297,"281",352,0,"0.202","0.0"
"283",1602701353370,2020-10-14,19:49:13,"F",13298,"100",131,0,"0.237","0.0"
"284",1602701357930,2020-10-14,19:49:17,"F",13299,"168",260,0,"0.354","0.0"
"285",1602701365120,2020-10-14,19:49:25,"F",13300,"293",446,0,"0.343","0.0"
"286",1602701372280,2020-10-14,19:49:32,"F",13301,"159",241,0,"0.340","0.0"
"287",1602701377760,2020-10-14,19:49:37,"F",13302,"285",426,0,"0.331","0.0"
"288",1602701381830,2020-10-14,19:49:41,"F",13303,"207",280,0,"0.261","0.0"
