"2020-10-10";"22:27:36";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:09:24";"SCHS";"";"Chart start ";""
"1552625";"2020-10-10";"20:35:17";"F";"11331";"186";"475";"0";"0.608";"0.0"
"1557005";"2020-10-10";"20:35:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1557865";"2020-10-10";"20:35:22";"F";"11332";"133";"332";"0";"0.599";"0.0"
"1562005";"2020-10-10";"20:35:27";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1562865";"2020-10-10";"20:35:27";"F";"11333";"234";"649";"0";"0.639";"0.0"
"1567005";"2020-10-10";"20:35:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1567585";"2020-10-10";"20:35:32";"F";"11334";"233";"673";"0";"0.654";"0.0"
"1572005";"2020-10-10";"20:35:37";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1576805";"2020-10-10";"20:35:41";"F";"11335";"189";"518";"0";"0.635";"0.0"
"1580005";"2020-10-10";"20:35:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1581095";"2020-10-10";"20:35:46";"F";"11336";"181";"449";"0";"0.597";"0.0"
"1586005";"2020-10-10";"20:35:51";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1594655";"2020-10-10";"20:35:59";"F";"11337";"135";"367";"0";"0.632";"0.0"
"1598005";"2020-10-10";"20:36:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1600115";"2020-10-10";"20:36:05";"F";"11338";"173";"422";"0";"0.590";"0.0"
"1605005";"2020-10-10";"20:36:10";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1607565";"2020-10-10";"20:36:12";"F";"11339";"171";"432";"0";"0.604";"0.0"
"1612005";"2020-10-10";"20:36:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
