"2020-10-10";"22:35:02";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"18:31:22";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"18:31:23";"C";"";"File Nr. 434 | File Dev. ID #1, DIVING-PAM-II:  ";""
"10";"2020-10-10";"18:31:23";"SCHE";"";"Chart stop ";""
"2590005";"2020-10-10";"19:14:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.7 ";""
"2592295";"2020-10-10";"19:14:35";"F";"10961";"171";"242";"0";"0.293";"0.0"
"2596005";"2020-10-10";"19:14:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.8 ";""
"2599405";"2020-10-10";"19:14:42";"F";"10962";"156";"213";"0";"0.268";"0.0"
"2599410";"2020-10-10";"19:14:42";"SCHE";"";"Chart stop ";""
"2602005";"2020-10-10";"19:14:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.7 ";""
"2635000";"2020-10-10";"19:15:17";"SCHS";"";"Chart start ";""
"2635005";"2020-10-10";"19:15:18";"C";"";"File Nr. 438 | File Dev. ID #1, DIVING-PAM-II:  ";""
"2649055";"2020-10-10";"19:15:32";"F";"10963";"377";"378";"0";"0.003";"0.0"
"2653005";"2020-10-10";"19:15:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.8 ";""
"2658385";"2020-10-10";"19:15:41";"F";"10964";"741";"859";"0";"0.137";"0.0"
"2662005";"2020-10-10";"19:15:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.8 ";""
"2680605";"2020-10-10";"19:16:03";"F";"10965";"171";"196";"0";"0.128";"0.0"
"2684005";"2020-10-10";"19:16:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.8 ";""
"2686535";"2020-10-10";"19:16:09";"F";"10966";"173";"211";"0";"0.180";"0.0"
"2690005";"2020-10-10";"19:16:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.8 ";""
"2693095";"2020-10-10";"19:16:16";"F";"10967";"36";"47";"0";"-";"-"
"2697005";"2020-10-10";"19:16:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.8 ";""
"2701715";"2020-10-10";"19:16:24";"F";"10968";"49";"70";"0";"0.300";"0.0"
"2705005";"2020-10-10";"19:16:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.8 ";""
"2719785";"2020-10-10";"19:16:42";"F";"10969";"56";"88";"0";"0.364";"0.0"
"2723005";"2020-10-10";"19:16:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2736365";"2020-10-10";"19:16:59";"F";"10970";"21";"42";"0";"-";"-"
"2740005";"2020-10-10";"19:17:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2748605";"2020-10-10";"19:17:11";"F";"10971";"407";"492";"0";"0.173";"0.0"
"2752005";"2020-10-10";"19:17:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2758415";"2020-10-10";"19:17:21";"F";"10972";"179";"272";"0";"0.342";"0.0"
"2762005";"2020-10-10";"19:17:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2765995";"2020-10-10";"19:17:28";"F";"10973";"539";"597";"0";"0.097";"0.0"
"2770005";"2020-10-10";"19:17:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2772115";"2020-10-10";"19:17:35";"F";"10974";"399";"481";"0";"0.170";"0.0"
"2776005";"2020-10-10";"19:17:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2780815";"2020-10-10";"19:17:43";"F";"10975";"268";"343";"0";"0.219";"0.0"
"2784005";"2020-10-10";"19:17:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2788475";"2020-10-10";"19:17:51";"F";"10976";"526";"611";"0";"0.139";"0.0"
"2792005";"2020-10-10";"19:17:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2796335";"2020-10-10";"19:17:59";"F";"10977";"110";"132";"0";"0.167";"0.0"
"2800005";"2020-10-10";"19:18:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2805525";"2020-10-10";"19:18:08";"F";"10978";"22";"35";"0";"-";"-"
"2809005";"2020-10-10";"19:18:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2812075";"2020-10-10";"19:18:15";"F";"10979";"29";"50";"0";"0.420";"0.0"
"2816005";"2020-10-10";"19:18:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2819865";"2020-10-10";"19:18:22";"F";"10980";"63";"74";"0";"0.149";"0.0"
"2823005";"2020-10-10";"19:18:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2829355";"2020-10-10";"19:18:32";"F";"10981";"145";"226";"0";"0.358";"0.0"
"2833005";"2020-10-10";"19:18:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2835165";"2020-10-10";"19:18:38";"F";"10982";"240";"407";"0";"0.410";"0.0"
"2839005";"2020-10-10";"19:18:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"2840645";"2020-10-10";"19:18:43";"F";"10983";"488";"492";"0";"0.008";"0.0"
"2845005";"2020-10-10";"19:18:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2855965";"2020-10-10";"19:18:58";"F";"10984";"483";"526";"0";"0.082";"0.0"
"2859005";"2020-10-10";"19:19:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2867945";"2020-10-10";"19:19:10";"F";"10985";"239";"272";"0";"0.121";"0.0"
"2871005";"2020-10-10";"19:19:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2876175";"2020-10-10";"19:19:19";"F";"10986";"126";"190";"0";"0.337";"0.0"
"2881005";"2020-10-10";"19:19:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2884835";"2020-10-10";"19:19:27";"F";"10987";"530";"627";"0";"0.155";"0.0"
"2889005";"2020-10-10";"19:19:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2895605";"2020-10-10";"19:19:38";"F";"10988";"388";"471";"0";"0.176";"0.0"
"2900005";"2020-10-10";"19:19:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
