"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"220",1155805,2020-10-13,19:29:37,"F",12383,"295",374,0,"0.211","0.0"
"221",1169035,2020-10-13,19:29:51,"F",12384,"141",208,0,"0.322","0.0"
"222",1180735,2020-10-13,19:30:02,"F",12385,"121",209,0,"0.421","0.0"
"223",1193915,2020-10-13,19:30:15,"F",12386,"142",200,0,"0.290","0.0"
"224",1200335,2020-10-13,19:30:22,"F",12387,"162",227,0,"0.286","0.0"
"225",1211175,2020-10-13,19:30:33,"F",12388,"116",247,0,"0.530","0.0"
"226",1218945,2020-10-13,19:30:40,"F",12389,"157",297,0,"0.471","0.0"
"227",1227315,2020-10-13,19:30:49,"F",12390,"307",367,0,"0.163","0.0"
"228",1238295,2020-10-13,19:31:00,"F",12391,"120",198,0,"0.394","0.0"
"229",1245395,2020-10-13,19:31:07,"F",12392,"101",174,0,"0.420","0.0"
"230",1255195,2020-10-13,19:31:17,"F",12393,"121",190,0,"0.363","0.0"
"231",1260635,2020-10-13,19:31:22,"F",12394,"109",201,0,"0.458","0.0"
"232",1272775,2020-10-13,19:31:34,"F",12395,"105",240,0,"0.563","0.0"
"233",1277365,2020-10-13,19:31:39,"F",12396,"140",266,0,"0.474","0.0"
"234",1302005,2020-10-13,19:32:04,"C",NA,"File Nr. 497 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"235",1361605,2020-10-13,19:33:03,"F",12397,"808",1097,0,"0.263","0.0"
"236",1407895,2020-10-13,19:33:49,"F",12398,"260",386,0,"0.326","0.0"
"237",1412705,2020-10-13,19:33:54,"F",12399,"293",419,0,"0.301","0.0"
"238",1419285,2020-10-13,19:34:01,"F",12400,"394",504,0,"0.218","0.0"
"239",1423875,2020-10-13,19:34:05,"F",12401,"279",388,0,"0.281","0.0"
"240",1428685,2020-10-13,19:34:10,"F",12402,"150",611,0,"0.755","0.0"
"241",1433125,2020-10-13,19:34:15,"F",12403,"351",538,0,"0.348","0.0"
"242",1439245,2020-10-13,19:34:21,"F",12404,"383",646,0,"0.407","0.0"
"243",1444865,2020-10-13,19:34:26,"F",12405,"196",288,0,"0.319","0.0"
"244",1450695,2020-10-13,19:34:32,"F",12406,"236",417,0,"0.434","0.0"
"245",1466665,2020-10-13,19:34:48,"F",12407,"242",329,0,"0.264","0.0"
"246",1474335,2020-10-13,19:34:56,"F",12408,"342",488,0,"0.299","0.0"
"247",1481235,2020-10-13,19:35:03,"F",12409,"190",281,0,"0.324","0.0"
"248",1487495,2020-10-13,19:35:09,"F",12410,"158",242,0,"0.347","0.0"
"249",1494955,2020-10-13,19:35:16,"F",12411,"227",452,0,"0.498","0.0"
"250",1499455,2020-10-13,19:35:21,"F",12412,"161",310,0,"0.481","0.0"
"251",1510635,2020-10-13,19:35:32,"F",12413,"372",505,0,"0.263","0.0"
"252",1517025,2020-10-13,19:35:39,"F",12414,"320",514,0,"0.377","0.0"
"253",1526685,2020-10-13,19:35:48,"F",12415,"75",109,0,"0.312","0.0"
"254",1551395,2020-10-13,19:36:13,"F",12416,"88",144,0,"0.389","0.0"
"255",1575305,2020-10-13,19:36:37,"F",12417,"418",562,0,"0.256","0.0"
"256",1580945,2020-10-13,19:36:42,"F",12418,"207",292,0,"0.291","0.0"
"257",1587585,2020-10-13,19:36:49,"F",12419,"335",409,0,"0.181","0.0"
"258",1593285,2020-10-13,19:36:55,"F",12420,"294",374,0,"0.214","0.0"
"259",1598955,2020-10-13,19:37:00,"F",12421,"209",477,0,"0.562","0.0"
"260",1604075,2020-10-13,19:37:06,"F",12422,"313",529,0,"0.408","0.0"
"261",1611055,2020-10-13,19:37:13,"F",12423,"294",478,0,"0.385","0.0"
"262",1617205,2020-10-13,19:37:19,"F",12424,"271",360,0,"0.247","0.0"
"263",1627525,2020-10-13,19:37:29,"F",12425,"338",431,0,"0.216","0.0"
"264",1634855,2020-10-13,19:37:36,"F",12426,"411",585,0,"0.297","0.0"
"265",1639835,2020-10-13,19:37:41,"F",12427,"260",434,0,"0.401","0.0"
"266",1644585,2020-10-13,19:37:46,"F",12428,"221",480,0,"0.540","0.0"
"267",1652545,2020-10-13,19:37:54,"F",12429,"235",379,0,"0.380","0.0"
"268",1660735,2020-10-13,19:38:02,"F",12430,"219",354,0,"0.381","0.0"
"269",1666555,2020-10-13,19:38:08,"F",12431,"329",406,0,"0.190","0.0"
"270",1681885,2020-10-13,19:38:23,"F",12432,"433",567,0,"0.236","0.0"
"271",1685275,2020-10-13,19:38:27,"F",12433,"216",402,0,"0.463","0.0"
"272",1693315,2020-10-13,19:38:35,"F",12434,"314",362,0,"0.133","0.0"
"273",1699005,2020-10-13,19:38:41,"F",12435,"307",409,0,"0.249","0.0"
"274",1705815,2020-10-13,19:38:47,"F",12436,"223",549,0,"0.594","0.0"
"275",1710385,2020-10-13,19:38:52,"F",12437,"286",525,0,"0.455","0.0"
"276",1722335,2020-10-13,19:39:04,"F",12438,"420",637,0,"0.341","0.0"
"277",1727825,2020-10-13,19:39:09,"F",12439,"310",546,0,"0.432","0.0"
"278",1734345,2020-10-13,19:39:16,"F",12440,"168",301,0,"0.442","0.0"
"279",1738145,2020-10-13,19:39:20,"F",12441,"193",314,0,"0.385","0.0"
"280",1743265,2020-10-13,19:39:25,"F",12442,"270",352,0,"0.233","0.0"
"281",1748315,2020-10-13,19:39:30,"F",12443,"315",525,0,"0.400","0.0"
"282",1756405,2020-10-13,19:39:38,"F",12444,"247",334,0,"0.260","0.0"
"283",1760485,2020-10-13,19:39:42,"F",12445,"210",319,0,"0.342","0.0"
"284",1787005,2020-10-13,19:40:09,"C",NA,"File Nr. 498 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"285",1813315,2020-10-13,19:40:35,"F",12446,"224",407,0,"0.450","0.0"
"286",1821595,2020-10-13,19:40:43,"F",12447,"238",449,0,"0.470","0.0"
"287",1830625,2020-10-13,19:40:52,"F",12448,"110",154,0,"0.286","0.0"
"288",1855615,2020-10-13,19:41:17,"F",12449,"290",491,0,"0.409","0.0"
"289",1860225,2020-10-13,19:41:22,"F",12450,"194",210,0,"0.076","0.0"
"290",1866875,2020-10-13,19:41:28,"F",12451,"172",361,0,"0.524","0.0"
"291",1878935,2020-10-13,19:41:40,"F",12452,"185",269,0,"0.312","0.0"
"292",1955875,2020-10-13,19:42:57,"F",12453,"290",397,0,"0.270","0.0"
"293",1971525,2020-10-13,19:43:13,"F",12454,"206",253,0,"0.186","0.0"
"294",1975075,2020-10-13,19:43:17,"F",12455,"299",378,0,"0.209","0.0"
