geno,f,fm,fvfm,tank_id,tank_set,max_temp
CRF055,194,499,0.611,S7,starboard,32
CRF119,215,637,0.662,S7,starboard,32
CRF119,200,569,0.649,S7,starboard,32
CRF031,237,666,0.644,S7,starboard,32
CRF031,319,713,0.553,S7,starboard,32
CRF068,157,398,0.606,S7,starboard,32
CRF068,197,453,0.565,S7,starboard,32
CRF066,177,463,0.618,S7,starboard,32
CRF066,173,407,0.575,S7,starboard,32
CRF082,215,672,0.68,S7,starboard,32
CRF082,227,761,0.702,S7,starboard,32
CRF020,150,410,0.634,S7,starboard,32
CRF020,165,602,0.726,S7,starboard,32
CRF099,172,499,0.655,S7,starboard,32
CRF099,305,843,0.638,S7,starboard,32
CRF007,290,743,0.61,S7,starboard,32
CRF007,267,696,0.616,S7,starboard,32
CRF028,290,819,0.646,S7,starboard,32
CRF028,182,584,0.688,S7,starboard,32
CRF042,191,482,0.604,S7,starboard,32
CRF042,258,744,0.653,S7,starboard,32
CRF010,203,615,0.67,S7,starboard,32
CRF010,230,635,0.638,S7,starboard,32
CRF074,171,518,0.67,S7,starboard,32
CRF074,226,632,0.642,S7,starboard,32
CRF013,196,585,0.665,S7,starboard,32
CRF013,225,671,0.665,S7,starboard,32
CRF069,365,1022,0.643,S8,starboard,30
CRF069,208,577,0.64,S8,starboard,30
CRF052,266,779,0.659,S8,starboard,30
