geno,rec,f,fm,fvfm,tank_id,tank_set,max_temp
26,9736,243,534,0.545,P5,port,34
26,9737,228,467,0.512,P5,port,34
159,9738,423,1238,0.658,P5,port,34
159,9739,564,1349,0.582,P5,port,34
170A,9740,775,1636,0.526,P5,port,34
170A,9741,690,1460,0.527,P5,port,34
172,9742,634,1849,0.657,P5,port,34
172,9743,543,1736,0.687,P5,port,34
155,9744,599,1153,0.48,P5,port,34
155,9746,417,930,0.552,P5,port,34
10,9747,417,877,0.525,P5,port,34
10,9748,501,1215,0.588,P5,port,34
183,9750,929,2032,0.543,P5,port,34
183,9751,458,1008,0.546,P5,port,34
160,9752,338,744,0.546,P5,port,34
160,9753,292,683,0.572,P5,port,34
CN4,9754,407,982,0.586,P5,port,34
CN4,9755,373,883,0.578,P5,port,34
176A,9756,271,802,0.662,P5,port,34
176A,9757,351,834,0.579,P5,port,34
179,9758,254,758,0.665,P5,port,34
179,9759,288,674,0.573,P5,port,34
M3,9760,359,825,0.565,P5,port,34
M3,9761,295,924,0.681,P5,port,34
157,9762,381,758,0.497,P5,port,34
157,9764,420,803,0.477,P5,port,34
153,9765,377,1305,0.711,P5,port,34
153,9766,279,719,0.612,P5,port,34
164,9767,412,932,0.558,P5,port,34
164,9768,271,859,0.685,P5,port,34
HS1,9769,350,857,0.592,P5,port,34
HS1,9770,304,1119,0.728,P5,port,34
M2,9771,377,1025,0.632,P5,port,34
M2,9772,265,743,0.643,P5,port,34
163,9774,14,30,NA,P4,port,38
163,9775,23,40,NA,P4,port,38
168,9776,57,87,0.345,P4,port,38
168,9777,29,61,0.525,P4,port,38
PK10,9778,10,50,0.8,P4,port,38
PK10,9779,15,57,0.737,P4,port,38
178,9780,19,54,0.648,P4,port,38
178,9781,33,63,0.476,P4,port,38
26,9782,164,195,0.159,P4,port,38
26,9783,175,210,0.167,P4,port,38
159,9784,44,63,0.302,P4,port,38
159,9785,95,147,0.354,P4,port,38
170A,9787,16,46,NA,P4,port,38
170A,9788,14,37,NA,P4,port,38
172,9789,6,53,NA,P4,port,38
172,9791,54,78,0.308,P4,port,38
155,9792,121,155,0.219,P4,port,38
155,9793,170,247,0.312,P4,port,38
10,9794,56,56,0,P4,port,38
10,9795,87,132,0.341,P4,port,38
183,9796,43,75,0.427,P4,port,38
183,9797,62,106,0.415,P4,port,38
160,9798,26,53,0.509,P4,port,38
160,9799,17,39,NA,P4,port,38
CN4,9800,55,95,0.421,P4,port,38
CN4,9801,70,97,0.278,P4,port,38
176A,9802,109,133,0.18,P4,port,38
176A,9803,57,94,0.394,P4,port,38
179,9804,43,62,0.306,P4,port,38
179,9805,34,58,0.414,P4,port,38
M3,9806,28,43,NA,P4,port,38
M3,9807,29,43,NA,P4,port,38
157,9808,105,203,0.483,P4,port,38
157,9809,201,361,0.443,P4,port,38
153,9810,144,144,0,P4,port,38
153,9811,54,105,0.486,P4,port,38
164,9812,153,212,0.278,P4,port,38
164,9813,303,333,0.09,P4,port,38
HS1,9814,160,165,0.03,P4,port,38
HS1,9815,425,491,0.134,P4,port,38
M2,9816,37,74,0.5,P4,port,38
M2,9817,31,65,0.523,P4,port,38
163,9818,17,41,NA,P3,port,37
163,9820,47,67,0.299,P3,port,37
168,9821,509,670,0.24,P3,port,37
168,9822,183,243,0.247,P3,port,37
PK10,9823,24,56,0.571,P3,port,37
PK10,9824,32,60,0.467,P3,port,37
178,9825,21,45,NA,P3,port,37
178,9826,13,40,NA,P3,port,37
26,9827,80,176,0.545,P3,port,37
26,9828,134,448,0.701,P3,port,37
159,9829,45,160,0.719,P3,port,37
159,9830,271,712,0.619,P3,port,37
170A,9831,55,108,0.491,P3,port,37
170A,9832,54,139,0.612,P3,port,37
172,9833,223,583,0.617,P3,port,37
172,9834,138,178,0.225,P3,port,37
155,9836,36,71,0.493,P3,port,37
155,9837,53,89,0.404,P3,port,37
10,9838,23,60,0.617,P3,port,37
10,9839,27,60,0.55,P3,port,37
183,9840,78,228,0.658,P3,port,37
183,9841,113,190,0.405,P3,port,37
160,9842,65,93,0.301,P3,port,37
160,9843,42,77,0.455,P3,port,37
CN4,9844,35,61,0.426,P3,port,37
CN4,9845,52,109,0.523,P3,port,37
176A,9846,64,169,0.621,P3,port,37
176A,9847,202,285,0.291,P3,port,37
179,9848,122,172,0.291,P3,port,37
179,9849,46,96,0.521,P3,port,37
M3,9850,88,216,0.593,P3,port,37
M3,9851,122,145,0.159,P3,port,37
157,9852,193,193,0,P3,port,37
157,9853,178,476,0.626,P3,port,37
153,9854,88,414,0.787,P3,port,37
153,9855,273,505,0.459,P3,port,37
164,9856,309,542,0.43,P3,port,37
164,9857,136,255,0.467,P3,port,37
HS1,9858,88,175,0.497,P3,port,37
HS1,9859,94,197,0.523,P3,port,37
M2,9860,98,293,0.666,P3,port,37
M2,9861,91,103,0.117,P3,port,37
163,9862,58,109,0.468,P1,port,35
163,9863,115,264,0.564,P1,port,35
168,9864,270,1184,0.772,P1,port,35
168,9865,602,1409,0.573,P1,port,35
PK10,9866,339,650,0.478,P1,port,35
PK10,9867,274,607,0.549,P1,port,35
178,9868,459,847,0.458,P1,port,35
178,9869,340,685,0.504,P1,port,35
26,9871,72,159,0.547,P1,port,35
26,9872,116,394,0.706,P1,port,35
159,9873,301,972,0.69,P1,port,35
159,9874,395,967,0.592,P1,port,35
170A,9875,222,400,0.445,P1,port,35
170A,9876,203,384,0.471,P1,port,35
172,9877,185,342,0.459,P1,port,35
172,9879,148,308,0.519,P1,port,35
155,9880,180,319,0.436,P1,port,35
155,9882,181,347,0.478,P1,port,35
10,9883,167,406,0.589,P1,port,35
10,9884,187,582,0.679,P1,port,35
183,9885,217,433,0.499,P1,port,35
183,9886,193,596,0.676,P1,port,35
160,9887,150,366,0.59,P1,port,35
160,9888,162,414,0.609,P1,port,35
CN4,9889,169,532,0.682,P1,port,35
CN4,9890,228,596,0.617,P1,port,35
176A,9891,498,816,0.39,P1,port,35
176A,9892,386,695,0.445,P1,port,35
179,9894,251,682,0.632,P1,port,35
179,9895,455,896,0.492,P1,port,35
M3,9896,268,586,0.543,P1,port,35
M3,9897,282,723,0.61,P1,port,35
157,9898,412,805,0.488,P1,port,35
157,9899,260,591,0.56,P1,port,35
153,9900,225,634,0.645,P1,port,35
153,9901,301,620,0.515,P1,port,35
164,9902,326,962,0.661,P1,port,35
164,9903,283,1071,0.736,P1,port,35
HS1,9904,275,857,0.679,P1,port,35
HS1,9905,371,834,0.555,P1,port,35
M2,9906,317,903,0.649,P1,port,35
M2,9907,392,844,0.536,P1,port,35
25,9908,353,1195,0.705,S5,starboard,34
25,9909,145,386,0.624,S5,starboard,34
162,9910,222,455,0.512,S5,starboard,34
162,9911,243,611,0.602,S5,starboard,34
21,9913,154,317,0.514,S5,starboard,34
21,9914,113,276,0.591,S5,starboard,34
150,9917,165,447,0.631,S5,starboard,34
150,9918,122,332,0.633,S5,starboard,34
28,9919,245,638,0.616,S5,starboard,34
28,9920,224,496,0.548,S5,starboard,34
11,9921,251,606,0.586,S5,starboard,34
11,9922,173,626,0.724,S5,starboard,34
CN3,9923,204,604,0.662,S5,starboard,34
CN3,9924,214,599,0.643,S5,starboard,34
182,9925,169,409,0.587,S5,starboard,34
182,9926,114,293,0.611,S5,starboard,34
174,9927,223,536,0.584,S5,starboard,34
174,9928,169,371,0.544,S5,starboard,34
166,9930,144,321,0.551,S5,starboard,34
166,9931,135,435,0.69,S5,starboard,34
167,9932,227,610,0.628,S5,starboard,34
167,9933,208,685,0.696,S5,starboard,34
176B,9934,114,280,0.593,S5,starboard,34
176B,9935,113,283,0.601,S5,starboard,34
171,9937,226,530,0.574,S5,starboard,34
171,9938,178,562,0.683,S5,starboard,34
173,9939,189,517,0.634,S5,starboard,34
173,9940,257,719,0.643,S5,starboard,34
CN2,9942,149,335,0.555,S5,starboard,34
CN2,9943,202,488,0.586,S5,starboard,34
175,9944,185,538,0.656,S5,starboard,34
175,9945,206,541,0.619,S5,starboard,34
156,9946,155,469,0.67,S5,starboard,34
156,9948,220,648,0.66,S5,starboard,34
170B,9949,191,529,0.639,S5,starboard,34
170B,9950,199,546,0.636,S5,starboard,34
165,9951,159,338,0.53,S5,starboard,34
165,9952,174,465,0.626,S5,starboard,34
161,9953,140,278,0.496,S5,starboard,34
161,9954,123,326,0.623,S5,starboard,34
154,9956,148,317,0.533,S5,starboard,34
154,9957,182,420,0.567,S5,starboard,34
25,9978,36,76,0.526,S1,starboard,38
25,9979,56,76,0.263,S1,starboard,38
162,9961,221,295,0.251,S1,starboard,38
162,9962,209,263,0.205,S1,starboard,38
21,9963,167,214,0.22,S1,starboard,38
21,9964,218,311,0.299,S1,starboard,38
150,9965,144,277,0.48,S1,starboard,38
150,9966,130,310,0.581,S1,starboard,38
28,9958,49,62,0.21,S1,starboard,38
28,9959,19,42,NA,S1,starboard,38
11,9970,100,151,0.338,S1,starboard,38
11,9971,98,98,0,S1,starboard,38
CN3,9972,75,94,0.202,S1,starboard,38
CN3,9973,151,212,0.288,S1,starboard,38
182,9975,92,153,0.399,S1,starboard,38
182,9976,204,316,0.354,S1,starboard,38
174,9968,118,154,0.234,S1,starboard,38
174,9969,39,117,0.667,S1,starboard,38
166,9981,510,576,0.115,S1,starboard,38
166,9982,582,674,0.136,S1,starboard,38
167,9983,249,578,0.569,S1,starboard,38
167,9984,338,354,0.045,S1,starboard,38
176B,9985,34,48,NA,S1,starboard,38
176B,9986,43,71,0.394,S1,starboard,38
171,9987,73,138,0.471,S1,starboard,38
171,9988,94,115,0.183,S1,starboard,38
173,9989,171,250,0.316,S1,starboard,38
173,9990,247,391,0.368,S1,starboard,38
CN2,9991,201,201,0,S1,starboard,38
