"2020-10-07";"00:17:00";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:00:01";"SCHS";"";"Chart start ";""
"1552005";"2020-10-06";"21:25:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1555725";"2020-10-06";"21:25:57";"F";"9793";"170";"247";"0";"0.312";"0.0"
"1560005";"2020-10-06";"21:26:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1562895";"2020-10-06";"21:26:04";"F";"9794";"56";"56";"0";"0.000";"0.0"
"1567005";"2020-10-06";"21:26:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1568265";"2020-10-06";"21:26:10";"F";"9795";"87";"132";"0";"0.341";"0.0"
"1572005";"2020-10-06";"21:26:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1576435";"2020-10-06";"21:26:18";"F";"9796";"43";"75";"0";"0.427";"0.0"
"1581005";"2020-10-06";"21:26:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1584545";"2020-10-06";"21:26:26";"F";"9797";"62";"106";"0";"0.415";"0.0"
"1589005";"2020-10-06";"21:26:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1593065";"2020-10-06";"21:26:35";"F";"9798";"26";"53";"0";"0.509";"0.0"
"1598005";"2020-10-06";"21:26:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1617845";"2020-10-06";"21:26:59";"F";"9799";"17";"39";"0";"-";"-"
"1621005";"2020-10-06";"21:27:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1626285";"2020-10-06";"21:27:08";"F";"9800";"55";"95";"0";"0.421";"0.0"
"1631005";"2020-10-06";"21:27:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1635835";"2020-10-06";"21:27:17";"F";"9801";"70";"97";"0";"0.278";"0.0"
"1640005";"2020-10-06";"21:27:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1644035";"2020-10-06";"21:27:26";"F";"9802";"109";"133";"0";"0.180";"0.0"
"1649005";"2020-10-06";"21:27:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1652735";"2020-10-06";"21:27:34";"F";"9803";"57";"94";"0";"0.394";"0.0"
"1657005";"2020-10-06";"21:27:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1659435";"2020-10-06";"21:27:41";"F";"9804";"43";"62";"0";"0.306";"0.0"
"1664005";"2020-10-06";"21:27:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1666735";"2020-10-06";"21:27:48";"F";"9805";"34";"58";"0";"0.414";"0.0"
"1671005";"2020-10-06";"21:27:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1681495";"2020-10-06";"21:28:03";"F";"9806";"28";"43";"0";"-";"-"
"1686005";"2020-10-06";"21:28:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1690365";"2020-10-06";"21:28:12";"F";"9807";"29";"43";"0";"-";"-"
"1695005";"2020-10-06";"21:28:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1697765";"2020-10-06";"21:28:19";"F";"9808";"105";"203";"0";"0.483";"0.0"
"1702005";"2020-10-06";"21:28:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1706685";"2020-10-06";"21:28:28";"F";"9809";"201";"361";"0";"0.443";"0.0"
"1710005";"2020-10-06";"21:28:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1712815";"2020-10-06";"21:28:34";"F";"9810";"144";"144";"0";"0.000";"0.0"
"1717005";"2020-10-06";"21:28:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1721425";"2020-10-06";"21:28:43";"F";"9811";"54";"105";"0";"0.486";"0.0"
"1726005";"2020-10-06";"21:28:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1728435";"2020-10-06";"21:28:50";"F";"9812";"153";"212";"0";"0.278";"0.0"
"1733005";"2020-10-06";"21:28:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1738345";"2020-10-06";"21:29:00";"F";"9813";"303";"333";"0";"0.090";"0.0"
"1743005";"2020-10-06";"21:29:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1754115";"2020-10-06";"21:29:16";"F";"9814";"160";"165";"0";"0.030";"0.0"
"1759005";"2020-10-06";"21:29:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1760135";"2020-10-06";"21:29:22";"F";"9815";"425";"491";"0";"0.134";"0.0"
"1765005";"2020-10-06";"21:29:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1774235";"2020-10-06";"21:29:36";"F";"9816";"37";"74";"0";"0.500";"0.0"
"1779005";"2020-10-06";"21:29:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1779165";"2020-10-06";"21:29:41";"F";"9817";"31";"65";"0";"0.523";"0.0"
"1779170";"2020-10-06";"21:29:41";"SCHE";"";"Chart stop ";""
"1784005";"2020-10-06";"21:29:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1912000";"2020-10-06";"21:31:53";"SCHS";"";"Chart start ";""
"1912005";"2020-10-06";"21:31:54";"C";"";"File Nr. 406 | File Dev. ID #1, DIVING-PAM-II:  ";""
"2142085";"2020-10-06";"21:35:44";"F";"9818";"17";"41";"0";"-";"-"
"2146005";"2020-10-06";"21:35:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
